sim_id,p_launch_time,p_latitude,p_longitude,p_altitude,p_balloon_mass,p_payload_mass,p_neck_lift,p_burst_diameter,p_time_step,p_iter_max,p_DataSet,p_parachute_cd,p_parachute_mass,p_parachute_diameter,burst_time_s,landing_time_s,burst_lat,burst_lon,burst_alt_m,land_lat,land_lon,land_alt_m,drift_m
58,2025-10-18 13:00,40.44696956454881,-104.6371424772406,1500,0.6,1.80937585538376,1.8705639005463464,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.44696956454881,-104.6371424772406,1500.0,40.44696956454881,-104.6371424772406,1500.0,0.0
59,2025-10-18 13:00,40.445677268835716,-104.6383138118087,1500,0.6,1.8324610706721869,1.9682165776409022,6.0,0.5,57600,gfs,1,0.1,1.22,19744.5,1767919455.3774948,38.99625290332815,-100.70380000489212,27682.613520784642,38.92869559373181,-100.3389959407391,1498.5743334928939,404654.8018946587
60,2025-10-18 13:00,40.447042866197336,-104.63768783905591,1500,0.6,1.7656536236033127,2.030014196393338,6.0,0.5,57600,gfs,1,0.1,1.22,6630.0,1767919458.5691133,40.13202938783821,-103.51684196579494,27530.739897337186,39.97841977615664,-103.12021070368071,1498.4672115450503,138990.43399526388
61,2025-10-18 13:00,40.44618541845202,-104.63840467617834,1500,0.6,1.7853896676590963,2.0680864741783833,6.0,0.5,57600,gfs,1,0.1,1.22,6381.0,1767919461.5559306,40.14440533397235,-103.56361741518566,27437.706546062,39.99395460171406,-103.17011111201413,1499.1048795311758,134423.07960220758
62,2025-10-18 13:00,40.446238489042315,-104.63841289917204,1500,0.6,1.7685216336672411,2.0063193806951207,6.0,0.5,57600,gfs,1,0.1,1.22,7631.0,1767919465.1758187,40.064458511294475,-103.33459970501134,27587.029159085858,39.91434418546985,-102.92851684137614,1497.1732726809087,156839.20364720075
63,2025-10-18 13:00,40.44558138987389,-104.63776600987681,1500,0.6,1.803032170145199,2.089485534106014,6.0,0.5,57600,gfs,1,0.1,1.22,6331.0,1767919468.1736016,40.14543353287815,-103.57053491912478,27385.96309522407,39.9957337344432,-103.17880102853267,1499.7272973661868,133588.4656826594
64,2025-10-18 13:00,40.445841246992096,-104.63763846013205,1500,0.6,1.747101406322962,1.8763642441123567,6.0,0.5,57600,gfs,1,0.1,1.22,21451.0,1767919485.6663654,38.923149788775845,-100.39710418060812,27917.12984599266,38.843291460102066,-100.02551561586714,1498.9306782494625,433166.93501254666
65,2025-10-18 13:00,40.44698040262953,-104.6368880894598,1500,0.6,1.754648660489558,2.069086055817878,6.0,0.5,57600,gfs,1,0.1,1.22,5993.0,1767919488.659957,40.16525499790518,-103.62633919311915,27436.14322937449,40.01443168753237,-103.23127087629625,1499.6828788006799,128652.11349598985
66,2025-10-18 13:00,40.44617267725293,-104.6385828142599,1500,0.6,1.7851943887807333,2.0289868821680095,6.0,0.5,57600,gfs,1,0.1,1.22,7517.0,1767919492.1870298,40.07051073542293,-103.35346310024426,27532.79204500344,39.92107761967772,-102.94949808931,1497.9384326192478,154910.20755136063
67,2025-10-18 13:00,40.44639712062939,-104.63862818357029,1500,0.6,1.7902933360649376,2.0336321412154086,6.0,0.5,57600,gfs,1,0.1,1.22,7529.0,1767919495.871257,40.069510688102184,-103.35107299887075,27520.551939150348,39.92022237949988,-102.9475729702036,1499.4993979194635,155111.11824873206
